1 : 2015-04-08 : WMZ 23.9 .; WME 25 .;
2 : 2015-04-09 : WMZ 23.9 .; WME 25 .;
3 : 2015-04-14 : WMZ 23.6 .; WME 25 .;
4 : 2015-04-18 : WMZ 21.5 .; WME 25 .;
5 : 2015-04-19 : WMZ 21.5 .; WME 25 .;
6 : 2015-04-21 : WMZ 22.6 .; WME 25 .;
7 : 2015-04-24 : WMZ 22.4 .; WME 23 .;
8 : 2015-04-27 : WMZ 22.65 .; WME 23 .;
9 : 2015-04-30 : WMZ 22.1 .; WME 23 .;
10 : 2015-04-30 : WMZ 22.1 .; WME 23 .;
2 : 2015-05-15 : WMZ 21.4 .; WME 23 .;
3 : 2015-06-09 : WMZ 20.55 .; WME 23 .;
